sentence1,sentence2,gold_label
Bishop making the cross with ashes on a man's forehead,the bishop talked to the woman while putting a cross on her cheek,contradiction
"While sitting on a blue plastic chair, a man in a pink shirt peels fruit into a bowl.",There are only carrots.,contradiction
A dog is walking along a snowy surface.,It is a hot summer day.,contradiction
The dog is drinking water from a fountain.,The dog is chasing a cat.,contradiction
Soccer players warm up by kicking the soccer ball around while the crowd waits.,The players were on a bus which broke down on the highway,contradiction
Two women sitting in a green bench.,The two women are asleep at home.,contradiction
A woman holds a baby on her lap and holds the hand of another young child who is riding on a horse-shaped tire swing.,A woman is flying an airplane.,contradiction
"Someone is holding a tan plaid piece of fabric over there face, while sitting buy a man.",A person is with no hands is sitting next to a man with no face.,contradiction
A guy with glasses and nose ring brushing his teeth.,A man in glasses is eating pizza.,contradiction
Two African-American men are participating in boxing match in which one of the boxers is throwing a punch at his opponent.,a boy sleeps,contradiction
Girl posting a flyer on a wall.,A girl  is reading a book,contradiction
A tennis player gets ready to return the ball.,There are people playing basketball.,contradiction
"A child is playing in the street, doing a cartwheel.",The child is asleep.,contradiction
The large brown dog is running through the grass to catch a red Frisbee.,The cat chases the dog through the long grass.,contradiction
A man in a red shirt that says' Espana' and a girl with purple streaks in her hair are smiling.,The girls hair is plaid.,contradiction
A man is rowing a canoe on a lake.,The man is ice skating.,contradiction
Two sets of hands blow drying a small brown and white puppy.,The dog is playing fetch.,contradiction
A native woman is working on a craft project.,A native woman is sleeping.,contradiction
A dog runs in a field.,Dog is barking,contradiction
People studying a display.,The group is not looking at anything.,contradiction
People are riding a boat in the body of water approaching a bridge.,dog sits alone in park,contradiction
Woman walking on a sidewalk and pushing a stroller.,A man is out with his baby.,contradiction
A boy runs to a baseball base.,A boy gets struck out at home plate.,contradiction
A rock band is performing in a concert hall with hexagonal roof panels.,A rock band is performing outdoors.,contradiction
A group of women are playing their instruments in black dresses.,A few women are shopping at the mall.,contradiction
An elderly man uses his walking stick to poke into a hole in the ground.,A young man sleeps on the ground.,contradiction
Two men next to a building playing a guitar and drums.,A boat is capsized near a dam.,contradiction
The man is at a casino playing blackjack.,a man deep ocean swimming,contradiction
Three girls happily jumping.,Three girls are sadly laying down.,contradiction
"A woman with a red umbrella standing on a snowy, tree-lined street.",A woman gets in the pool.,contradiction
"Three different people, all wearing light colored tops and dark pants, are taking pictures with their cameras.",The people are stealing the clothes and running out of the store.,contradiction
A red tent in front of a brick building is serving passersby on the brick road.,The brick building sits on the highway.,contradiction
A boy in a red jacket is sitting in the snow.,A boy comes inside to get warm,contradiction
A young man climbing up the side of a mountain while shirtless.,A young man is wearing a leather jacket.,contradiction
A man teaching his toddler how to fix the chain on a bicycle.,A mother and daughter work on a bicycle.,contradiction
People are skating in a outdoor rink around a huge Christmas tree.,People are water skiing.,contradiction
"A group of people wearing white, orange and yellow outfits pose for a picture with a burning effigy in the background.",People are gathered at a shopping mall to meet for coffee.,contradiction
A group of people holding up the American flag.,The people are making love to America,contradiction
Construction workers assembling pipe material outside.,Workers smoking a pipe.,contradiction
A man talking a photo of a band with a drummer and a guitarist.,A man is taking a picture of a landscape.,contradiction
a small blond girl in a pink shirt standing by a duck.,Small girl like duck.,contradiction
A man is sitting on the ground watching people.,The man is washing his dog in the bath tub,contradiction
A senior firefighter stands behind a firetruck as a building looms behind.,They firefighter is in a car.,contradiction
Group of men sitting and standing in an art gallery.,The men are hovering in midair.,contradiction
The white dog looks happy running.,There is a cat out in public.,contradiction
seven people jump into the water.,Seven people jump into the air.,contradiction
A boy in blue shorts slides down a slide into a pool.,The boy is wearing a red shorts.,contradiction
